sellprice,year,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(CC),maxpower(bhp),seats
0.145,2006,170000,Diesel,Individual,Manual,First Owner,13.6,2523,13.6,7
0.501,2014,68000,Diesel,Dealer,Manual,First Owner,22.9,1248,74,5
0.325,2013,100000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5
0.5,2013,70000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
0.325,2013,158000,Diesel,Dealer,Manual,First Owner,24.4,1499,98.96,5
0.66,2016,78010,Diesel,Dealer,Automatic,First Owner,21.66,1498,103.52,5
0.5,2013,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
0.55,2016,56494,Petrol,Dealer,Manual,First Owner,18.2,1199,88.7,5
0.434999,2014,70195,Diesel,Dealer,Manual,Second Owner,28.4,1248,74.02,5
0.07,1998,100000,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
1.63,2016,40000,Diesel,Individual,Automatic,Second Owner,11.36,2755,171.5,7
0.95,2019,11533,Petrol,Dealer,Manual,First Owner,14.23,1498,104.55,5
0.19,2012,100000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.711,2017,35000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
2.6,2015,100000,Diesel,Individual,Automatic,Second Owner,15.26,2143,203.2,5
0.47,2016,10000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.55,2017,10000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,5
0.63,2018,46000,Diesel,Individual,Manual,First Owner,28.4,1248,74,5
3.8,2019,20000,Diesel,Individual,Automatic,First Owner,18,1969,190,5
5.4,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
0.29,2011,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5
0.6,2017,50000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5
0.645,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
0.38,2018,5000,Petrol,Individual,Manual,First Owner,23.01,999,67,5
0.95,2016,50000,Diesel,Individual,Manual,First Owner,15.4,1997,120,7
0.35,2012,52000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5
0.978999,2015,90000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.22,2011,100000,Diesel,Individual,Manual,First Owner,20,1399,68,5
0.551,2018,20000,Petrol,Individual,Manual,Second Owner,18.9,1197,81.86,5
0.231,2010,80000,Petrol,Individual,Manual,Third Owner,17.5,1298,85.8,5
0.395,2014,120000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
0.675,2017,127991,Diesel,Dealer,Manual,First Owner,25.5,1498,98.6,5
0.7,2019,60000,Diesel,Individual,Manual,First Owner,22.54,1396,88.76,5
0.55,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
0.8,2019,30000,Diesel,Individual,Manual,Third Owner,23,1498,98.96,5
0.31,2016,27500,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.8,2015,140000,Diesel,Individual,Manual,First Owner,15.1,2179,140,7
0.55,2016,8588,Petrol,Individual,Manual,First Owner,22,1197,81.8,5
0.45,2014,46000,Petrol,Individual,Manual,Second Owner,19.1,1197,81.86,5
2.6,2017,70000,Diesel,Individual,Automatic,First Owner,20.38,1968,143,5
0.31,2014,160000,Diesel,Individual,Manual,First Owner,14.95,2489,93.7,7
0.95,2018,57000,Diesel,Individual,Manual,Second Owner,25.1,1248,88.5,5
0.29,2014,31000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5
0.3,2017,30000,Petrol,Individual,Manual,First Owner,23.01,999,67,5
0.11,2003,83000,Petrol,Individual,Manual,Second Owner,13.8,1299,13.8,5
0.499,2019,5000,Petrol,Individual,Automatic,First Owner,20.3,1086,68,5
0.3,2011,110000,Diesel,Individual,Manual,Second Owner,16.2,1493,110,5
0.5,2013,115717,Diesel,Individual,Manual,First Owner,12.05,2179,120,9
0.325,2012,110000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
1.15,2017,27000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5
0.35,2013,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74,5
0.35,2011,120000,Diesel,Individual,Manual,First Owner,13,2489,95,8
0.925,2018,23712,Diesel,Dealer,Manual,First Owner,28.09,1248,88.5,5
0.26,2016,35000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5
0.35,2015,100000,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5
0.35,2016,30000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
0.55,2015,41000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
0.25,2009,68600,Petrol,Individual,Manual,Third Owner,17,1497,118,5
0.12,2011,90000,Petrol,Individual,Manual,First Owner,18.6,1199,18.6,5
0.37,2017,40000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5
0.465,2014,27233,Diesel,Dealer,Manual,First Owner,27.4,1498,98.63,5
0.365,2011,65000,Diesel,Dealer,Manual,Second Owner,20.54,1598,103.6,5
0.6,2018,69779,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.7,2013,120000,Diesel,Individual,Manual,First Owner,22.7,1582,126.24,5
5.5,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
0.525,2018,33000,Petrol,Dealer,Manual,First Owner,20.89,1197,81.8,5
0.25,2013,60000,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,5
1.11,2017,186000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.55,2015,25000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
0.24,2007,80000,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7
0.649,2016,70000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
0.455,2017,34152,Petrol,Dealer,Manual,First Owner,18.9,1197,81.86,5
0.25,2010,100000,Diesel,Individual,Manual,Second Owner,17.5,1896,106,5
0.335,2012,135000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5
0.21,2014,70000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.221,2014,65000,Diesel,Dealer,Manual,First Owner,19.09,1405,69.01,5
0.73,2016,100000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
0.5,2019,10000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5
3.2,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5
0.5,2016,30000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
0.55,2016,44000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
0.511,2013,90000,Petrol,Individual,Manual,Second Owner,16.3,1797,147.5,5
0.85,2018,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5
0.27,2010,90000,Diesel,Individual,Manual,Second Owner,18.3,1991,147.9,5
0.3,2011,30000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5
0.63,2014,56000,Diesel,Individual,Manual,Second Owner,25.1,1498,98.6,5
0.535,2018,31000,Petrol,Dealer,Automatic,First Owner,24.04,999,67,5
0.5,2017,20000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.25,2013,120000,Diesel,Individual,Manual,First Owner,19.09,1396,69,5
0.925,2016,48000,Diesel,Individual,Manual,Second Owner,16,2179,140,7
0.15,2009,75000,Petrol,Individual,Manual,Third Owner,18.9,1061,18.9,5
0.254999,2011,110000,Diesel,Individual,Manual,Second Owner,23.08,1461,63.1,5
0.285,2012,178000,Diesel,Individual,Manual,Second Owner,22.3,1248,74,5
0.8,2018,25000,Petrol,Individual,Automatic,First Owner,17.4,1197,81.86,5
0.25,2010,135000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,5
0.185,2009,50000,Petrol,Individual,Manual,First Owner,19,998,19,5
1,2015,70000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.217,2018,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5
0.31,2013,70000,Diesel,Individual,Manual,First Owner,25,1396,69,5
0.09,2006,168000,Petrol,Individual,Manual,Second Owner,18.9,998,18.9,5
0.61,2015,33000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5
0.75,2015,74000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.55,2017,120000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5
2.711,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5
2,2019,24857,Petrol,Dealer,Automatic,Test Drive Car,16.5,1799,139.46,5
0.445,2014,120000,Diesel,Individual,Manual,Second Owner,14.95,2489,93.7,7
0.45,2019,25000,Petrol,Individual,Manual,First Owner,20.3,1199,84,5
0.56,2012,101903,Diesel,Individual,Manual,Second Owner,12.05,2179,120,8
0.34,2018,51492,Petrol,Individual,Manual,First Owner,18.15,1198,82,6
1.53,2018,40000,Diesel,Individual,Manual,First Owner,16,2179,138,7
0.65,2017,18816,Petrol,Dealer,Manual,First Owner,17,1198,73.75,5
0.6,2018,70000,Diesel,Individual,Manual,First Owner,18.49,2179,120,9
0.328,2012,123000,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,5
0.04,2002,80000,Petrol,Individual,Manual,First Owner,16.1,796,16.1,4
0.95,2018,48500,Diesel,Dealer,Manual,First Owner,25.47,1248,88.5,7
0.55,2016,56494,Petrol,Dealer,Manual,First Owner,18.2,1199,88.7,5
0.325,2013,100000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5
0.2,2011,50000,Diesel,Individual,Manual,Second Owner,17,1405,71,5
0.65,2017,5000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
0.8,2011,197000,Diesel,Individual,Manual,First Owner,12.8,2494,102,7
0.59,2016,40000,Petrol,Individual,Manual,Second Owner,20.73,1373,91.1,5
0.15,2010,70000,Petrol,Individual,Manual,First Owner,18.6,1199,18.6,5
0.56,2015,43001,Diesel,Dealer,Manual,First Owner,22.27,1498,108.6,5
0.25,2018,55000,Petrol,Dealer,Automatic,First Owner,21.9,624,37.48,4
1.225,2015,39000,Diesel,Dealer,Manual,First Owner,16,2179,140,7
0.2,2008,110000,Petrol,Individual,Manual,Second Owner,17.7,1497,78,5
0.6,2016,25000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5
0.2,2012,38000,Petrol,Dealer,Manual,Second Owner,24.7,796,47.3,5
0.14,2006,60000,Petrol,Individual,Manual,Second Owner,16.6,1388,16.6,5
0.25,2015,20000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,4
0.695,2018,40000,Petrol,Individual,Manual,First Owner,22,1197,81.8,5
0.55,2013,240000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
3.2,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5
0.28,2016,19000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.18,2010,80500,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.45,2014,30000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5
0.425,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5
5.4,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
0.44,2012,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179,120,8
0.85,2015,90000,Diesel,Individual,Manual,First Owner,15.1,2179,140,7
0.3,2011,72000,Petrol,Dealer,Manual,First Owner,17.6,1496,88.7,5
2,2016,68089,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5
0.315,2010,120000,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7
0.85,2013,110000,Diesel,Individual,Manual,Second Owner,12.99,2494,100,8
0.486,2015,10000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.09,2005,40000,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.459999,2015,32000,Diesel,Individual,Manual,Second Owner,25.83,1498,99,5
0.57,2015,72000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
0.21,2011,50000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5
1.46,2019,5000,Diesel,Individual,Manual,First Owner,17.3,1497,121,7
0.245,2015,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
0.649,2015,39000,Petrol,Dealer,Manual,First Owner,17.4,1497,117.3,5
0.52,2015,110000,Diesel,Individual,Manual,Second Owner,20.14,1498,88.8,5
0.25,2016,60000,Diesel,Individual,Manual,Second Owner,22.1,1248,74,5
0.229999,2014,53473,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
0.49,2019,10000,Petrol,Individual,Manual,First Owner,20.52,1197,81.8,5
3.25,2018,12000,Diesel,Individual,Automatic,First Owner,10.91,3198,197,7
1.2,2011,62000,Diesel,Individual,Automatic,Second Owner,11.72,2199,194.3,7
0.38,2017,30000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
0.5,2015,58000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5
0.25,2011,110000,Petrol,Individual,Manual,Second Owner,15,1368,90,5
0.28,2011,100000,Diesel,Individual,Manual,Second Owner,23,1396,90,5
0.225,2011,90000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
0.395,2013,70000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5
0.365,2015,105000,Diesel,Dealer,Manual,First Owner,25.83,1498,99,5
0.17,2013,60000,Petrol,Individual,Manual,Second Owner,22.74,796,22.74,5
0.12,2006,70000,Petrol,Individual,Manual,Third Owner,19.7,796,19.7,5
0.6,2014,160000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5
0.4,2011,100000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,9
0.975,2016,54000,Diesel,Individual,Automatic,First Owner,16,1997,140,7
0.325,2011,160000,Diesel,Individual,Manual,Third Owner,20.86,1199,75,5
2.625,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5
0.56,2014,90000,Diesel,Individual,Manual,Second Owner,26.21,1248,88.5,5
0.2,2011,80000,Diesel,Individual,Manual,First Owner,17,1405,71,5
0.565,2018,19000,Petrol,Individual,Manual,First Owner,18.78,999,75,5
0.75,2015,160000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5
0.229999,2014,70000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.25,2014,110000,Diesel,Individual,Manual,First Owner,20.8,1461,65,5
0.459999,2019,35000,Petrol,Individual,Manual,First Owner,19.83,1198,67,5
0.75,2018,15000,Petrol,Individual,Manual,First Owner,17,1198,108.5,5
0.5,2017,20000,Petrol,Individual,Manual,First Owner,11.96,1298,80,8
0.4,2011,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74,5
0.2,2014,60000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
0.54,2018,7000,Petrol,Dealer,Manual,First Owner,20.3,1086,68,5
0.65,2014,68000,Diesel,Individual,Manual,First Owner,22.9,1248,74,5
0.265,2015,67000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
0.275,2008,52000,Petrol,Individual,Manual,Second Owner,13.9,1599,103.2,5
0.081,2002,161000,Petrol,Individual,Manual,Fourth & Above Owner,13,1493,13,5
0.409999,2015,18500,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
0.05,2003,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998,18.9,5
0.499,2015,20000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
0.265,2012,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5
0.42,2012,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
3.5,2014,60000,Diesel,Individual,Automatic,First Owner,11,2982,170.3,7
0.3,2012,80000,Diesel,Individual,Manual,Second Owner,21.9,1396,88.76,5
0.35,2011,58000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7
0.6,2015,60000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
0.4,2010,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.93,2179,138.03,7
0.465,2013,80000,Petrol,Individual,Manual,Second Owner,16.8,1497,116.3,5
0.256,2012,90000,Petrol,Individual,Manual,Second Owner,15.3,1596,99.6,5
0.45,2015,57000,Diesel,Individual,Manual,First Owner,23,1248,88.7,5
0.16,2010,90000,Petrol,Individual,Manual,Second Owner,15.6,1196,15.6,5
0.62,2018,38426,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5
0.15,2005,100000,Diesel,Individual,Manual,Second Owner,13.6,2523,13.6,7
2.1,2016,40000,Petrol,Individual,Automatic,First Owner,10.75,2694,163.7,7
0.75,2013,79328,Diesel,Dealer,Manual,Second Owner,12.99,2494,100.6,7
0.434999,2015,50000,Petrol,Individual,Manual,Second Owner,20.4,1197,83.11,5
0.34,2012,92686,Diesel,Dealer,Manual,Second Owner,21.9,1396,88.76,5
0.72,2018,50000,Diesel,Individual,Manual,Second Owner,21.19,1396,88.73,5
0.605,2017,127000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
0.22,2012,13000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
0.215,2014,50000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.79,2015,126000,Diesel,Individual,Manual,Third Owner,21.43,1364,87.2,5
0.39,2014,30000,Petrol,Individual,Manual,First Owner,19.69,1198,67.04,5
0.67,2017,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
1.49,2016,56900,Diesel,Individual,Manual,Second Owner,13.68,2393,147.8,8
0.19,2011,90000,Diesel,Dealer,Manual,First Owner,18.8,1248,90,5
0.3,2014,30000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
0.42,2012,100000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
0.81,2014,100000,Diesel,Individual,Manual,First Owner,15.1,2179,140,7
0.325,2014,48000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5
0.195,2011,120000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5
0.229999,2011,500000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
0.7,2018,35000,Diesel,Individual,Manual,First Owner,24,1186,73.97,5
0.425,2016,50000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5
0.11,2005,90000,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.4,2013,70000,Petrol,Individual,Manual,First Owner,17.01,1591,121.3,5
0.74,2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5
0.409999,2007,248119,Diesel,Individual,Manual,Fourth & Above Owner,12.8,2494,102,8
0.4,2017,10000,Petrol,Individual,Automatic,First Owner,23.95,998,67.1,5
5.2,2019,17000,Petrol,Dealer,Automatic,First Owner,15,1991,194.4,5
0.472,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67,5
0.35,2015,46357,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
0.535,2014,70000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.32,5
0.385,2016,26000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
0.8,2011,60000,Diesel,Individual,Manual,First Owner,12.8,2494,102,7
0.6,2014,125000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5
0.17,2007,120000,Diesel,Individual,Manual,Second Owner,16.8,1493,16.8,5
0.4,2013,83000,Diesel,Individual,Manual,First Owner,23.08,1461,63.1,5
0.551,2015,110000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5
0.55,2016,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,9
0.371,2012,100000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5
0.562,2015,60000,Diesel,Individual,Manual,First Owner,27.39,1248,74,5
0.75,2013,110000,Diesel,Individual,Manual,Second Owner,15.1,2179,140,7
0.88,2017,25000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
0.285,2012,69000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
0.21,2008,120000,Diesel,Individual,Manual,Second Owner,18.7,1896,66,5
0.35,2016,120000,Diesel,Individual,Manual,Second Owner,24.4,1120,71,5
0.8,2017,39000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
0.118,2004,60000,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.11,2008,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061,18.9,5
0.95,2011,68000,Diesel,Individual,Manual,First Owner,13.1,2499,141,7
0.8,2017,60000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5
0.11,2006,53523,Petrol,Dealer,Manual,First Owner,16.84,1193,16.84,5
0.250999,2020,30000,Petrol,Individual,Manual,First Owner,22.05,796,47.3,5
0.33,2012,50000,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5
0.45,2012,128000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
0.65,2019,5621,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.531,2018,20000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,5
0.24,2016,45000,Petrol,Individual,Manual,Second Owner,25.17,799,53.3,5
1.025,2016,22522,Diesel,Dealer,Manual,First Owner,16,2179,140,7
0.55,2016,56494,Petrol,Dealer,Manual,First Owner,18.2,1199,88.7,5
0.2,2016,110000,Diesel,Individual,Manual,Second Owner,25,1396,69,5
0.31,2012,100000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5
0.7,2013,37659,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
0.459999,2014,90000,Diesel,Individual,Manual,Second Owner,24,1120,70,5
0.75,2013,79328,Diesel,Dealer,Manual,Second Owner,12.99,2494,100.6,7
0.3,2012,210000,Diesel,Individual,Manual,First Owner,17.21,1493,100,7
1.132,2019,20000,Petrol,Individual,Manual,First Owner,17,1197,110,5
0.5,2015,20000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5
0.735,2011,200000,Diesel,Individual,Manual,Second Owner,12.8,2494,102,7
0.66,2017,82000,Diesel,Individual,Manual,First Owner,18.49,1493,100,7
0.4,2016,60000,Petrol,Individual,Manual,First Owner,17,1198,73.75,5
0.075,2012,12000,Petrol,Individual,Manual,First Owner,16.84,1193,16.84,5
0.7,2016,30000,Petrol,Individual,Manual,First Owner,15.29,1591,121.3,5
0.49,2014,90000,Diesel,Individual,Manual,Second Owner,20.45,1461,83.8,5
0.45,2017,89000,Diesel,Individual,Manual,First Owner,27.28,1047,69,5
1.7,2018,15000,Diesel,Individual,Manual,First Owner,15.1,2179,152.87,7
0.49,2019,10000,Petrol,Individual,Manual,First Owner,20.52,1197,81.8,5
2.7,2019,10000,Diesel,Individual,Automatic,First Owner,13.8,2999,174.57,7
0.15,2010,91500,Petrol,Individual,Manual,First Owner,19.7,796,19.7,5
0.65,2017,20000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
0.38,2011,239451,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7
0.3,2017,80000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
0.6,2015,60000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
0.9,2016,98000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.95,2018,27000,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,5
0.28,2016,100000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,5
0.45,2012,60000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.32,5
0.22,2016,90000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8
0.825,2016,39000,Diesel,Dealer,Manual,First Owner,21.38,1396,88.7,5
0.315,2011,80000,Petrol,Individual,Manual,First Owner,17,1197,80,5
0.12,2011,60000,Petrol,Individual,Manual,First Owner,18.6,1199,18.6,5
0.55,2012,83000,Petrol,Individual,Manual,First Owner,16.8,1497,116.3,5
0.49,2015,45900,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5
0.19,2012,110000,Petrol,Individual,Manual,First Owner,15.37,1196,15.37,5
0.16,2010,200000,Petrol,Individual,Manual,First Owner,19,998,19,5
0.285,2010,155000,Petrol,Individual,Manual,Second Owner,15.5,1586,103.3,5
0.999,2014,25000,Diesel,Individual,Manual,First Owner,15.4,2179,120,9
0.75,2007,60000,Diesel,Individual,Automatic,Second Owner,14.49,2993,258,5
0.2,2012,80868,Petrol,Individual,Manual,Third Owner,13.7,1368,88.8,5
0.45,2011,80000,Petrol,Individual,Manual,Third Owner,17,1497,118,5
0.511,2015,30000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.229999,2014,30000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
1,2018,5229,Petrol,Dealer,Manual,First Owner,17.1,1496,105.5,5
0.085,2010,150000,Petrol,Individual,Manual,Third Owner,19.7,796,19.7,5
0.625,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5
0.36,2015,30000,Petrol,Individual,Manual,Second Owner,18.9,1197,81.86,5
0.199,2011,70000,Petrol,Individual,Manual,Third Owner,20.92,998,67.1,5
0.645,2014,139000,Diesel,Individual,Automatic,First Owner,11.79,2179,120,8
0.715,2017,60000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
0.25,2005,80000,Diesel,Individual,Manual,First Owner,13.6,2523,63,7
0.15,2007,35000,Petrol,Individual,Manual,First Owner,18.2,1061,18.2,5
0.65,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7
0.11,2006,140000,Petrol,Individual,Manual,Second Owner,14.4,1599,14.4,5
0.7,2019,10000,Diesel,Individual,Manual,First Owner,24,1186,73.97,5
0.95,2018,25000,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,5
0.04,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
0.45,2011,96000,Diesel,Individual,Manual,Fourth & Above Owner,22.32,1582,126.32,5
0.475,2016,50000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5
5.5,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
0.3,2015,45000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.25,2011,25000,Petrol,Individual,Manual,First Owner,15.6,1196,70,5
0.75,2013,79328,Diesel,Dealer,Manual,Second Owner,12.99,2494,100.6,7
0.651,2016,42323,Diesel,Dealer,Manual,First Owner,21.19,1396,88.76,5
0.25,2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,15.3,2956,83.8,7
0.425,2016,68000,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5
0.215,2006,102000,Petrol,Individual,Manual,Third Owner,16.1,1298,88.2,5
0.11,2011,50000,Diesel,Individual,Manual,First Owner,17.2,1396,17.2,5
1.1,2016,94000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.589,2017,41232,Diesel,Dealer,Manual,First Owner,26.59,1248,74,5
0.8,2010,125000,Diesel,Individual,Manual,Second Owner,11.5,2982,171,7
0.45,2017,10000,Petrol,Individual,Automatic,First Owner,23.1,998,67.04,5
0.649,2014,117000,Diesel,Individual,Manual,Third Owner,15.1,2179,140,7
0.22,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67,5
0.3,2016,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.095,2007,70000,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.475,2014,83000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5
0.48,2013,42462,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5
0.305,2016,60000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
0.325,2011,70000,Diesel,Individual,Manual,First Owner,22.9,1248,74,5
5.4,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
